"Date";"Field";"Treatment";"Taxa";"Abundance"
2025-06-30;"1";"FE";"L. oryzophilus";1
2025-07-15;"1";"BE";"L. oryzophilus";14
2025-07-15;"1";"FC";"L. oryzophilus";18
2025-07-15;"1";"FE";"L. oryzophilus";3
2025-07-15;"1";"FO";"L. oryzophilus";3
2025-07-15;"2";"FC";"L. oryzophilus";1
2025-07-15;"2";"FE";"L. oryzophilus";35
2025-07-15;"2";"FO";"L. oryzophilus";15
2025-07-15;"3";"BE";"L. oryzophilus";30
2025-07-15;"3";"FC";"L. oryzophilus";7
2025-07-15;"3";"FE";"L. oryzophilus";10
2025-07-15;"3";"FO";"L. oryzophilus";32
2025-07-15;"4";"BE";"L. oryzophilus";1
2025-07-15;"4";"FC";"L. oryzophilus";10
2025-07-15;"4";"FE";"L. oryzophilus";1
2025-07-15;"5";"FC";"L. oryzophilus";4
2025-07-15;"5";"FE";"L. oryzophilus";7
2025-07-15;"5";"FO";"L. oryzophilus";6
2025-07-30;"1";"BE";"L. oryzophilus";53
2025-07-30;"1";"FC";"L. oryzophilus";24
2025-07-30;"1";"FE";"L. oryzophilus";7
2025-07-30;"1";"FO";"L. oryzophilus";1
2025-07-30;"2";"BE";"L. oryzophilus";4
2025-07-30;"2";"FE";"L. oryzophilus";10
2025-07-30;"2";"FO";"L. oryzophilus";1
2025-07-30;"3";"BE";"L. oryzophilus";113
2025-07-30;"3";"FC";"L. oryzophilus";10
2025-07-30;"3";"FE";"L. oryzophilus";43
2025-07-30;"3";"FO";"L. oryzophilus";52
2025-07-30;"4";"BE";"L. oryzophilus";1
2025-07-30;"4";"FC";"L. oryzophilus";17
2025-07-30;"4";"FE";"L. oryzophilus";2
2025-07-30;"4";"FO";"L. oryzophilus";2
2025-07-30;"5";"BE";"L. oryzophilus";3
2025-07-30;"5";"FC";"L. oryzophilus";107
2025-07-30;"5";"FE";"L. oryzophilus";26
2025-07-30;"5";"FO";"L. oryzophilus";44
2025-08-12;"1";"BE";"L. oryzophilus";48
2025-08-12;"1";"FC";"L. oryzophilus";24
2025-08-12;"1";"FE";"L. oryzophilus";14
2025-08-12;"2";"BE";"L. oryzophilus";1
2025-08-12;"2";"FE";"L. oryzophilus";26
2025-08-12;"2";"FO";"L. oryzophilus";2
2025-08-12;"3";"BE";"L. oryzophilus";70
2025-08-12;"3";"FC";"L. oryzophilus";2
2025-08-12;"3";"FE";"L. oryzophilus";30
2025-08-12;"3";"FO";"L. oryzophilus";70
2025-08-12;"4";"FC";"L. oryzophilus";17
2025-08-12;"4";"FE";"L. oryzophilus";1
2025-08-12;"4";"FO";"L. oryzophilus";1
2025-08-12;"5";"BE";"L. oryzophilus";22
2025-08-12;"5";"FC";"L. oryzophilus";102
2025-08-12;"5";"FE";"L. oryzophilus";7
2025-08-12;"5";"FO";"L. oryzophilus";123
2025-08-25;"3";"FC";"L. oryzophilus";1
2025-08-25;"3";"FE";"L. oryzophilus";1
2025-08-25;"3";"FO";"L. oryzophilus";1
2025-08-25;"4";"FC";"L. oryzophilus";5
2025-08-25;"4";"FO";"L. oryzophilus";1
2025-08-25;"5";"FC";"L. oryzophilus";3
2025-08-25;"5";"FE";"L. oryzophilus";1
2025-08-25;"5";"FO";"L. oryzophilus";12
